등록번호,조사기관명,조사의뢰자,여론조사_명칭,등록일,시도
13530,조원씨앤아이,스트레이트뉴스,전국   정기(정례)조사 정당지지도 대통령선거 ,2024-06-11,전국
13529,미디어토마토,뉴스토마토,전국   정기(정례)조사 정당지지도 기타 정치사회현안,2024-06-10,전국
13528,(주)여론조사꽃,(주)여론조사꽃 자체조사,전국   정기(정례)조사 정당지지도 ,2024-06-09,전국
13527,(주)여론조사꽃,(주)여론조사꽃 자체조사,전국   정기(정례)조사 정당지지도 ,2024-06-09,전국
13526,(주)리얼미터,에너지경제신문,전국   정기(정례)조사 정당지지도 6월 1주차 주간집계,2024-06-07,전국
13525,여론조사공정(주),데일리안,전국   대통령선거 정당지지도 정기(정례)조사 ,2024-06-05,전국
13524,조원씨앤아이,스트레이트뉴스,전국   정기(정례)조사 정당지지도 대통령선거 ,2024-06-04,전국
13523,미디어토마토,뉴스토마토,전국   정기(정례)조사 정당지지도 기타 정치사회현안,2024-06-03,전국
13522,(주)여론조사꽃,(주)여론조사꽃 자체조사,전국   정기(정례)조사 정당지지도 ,2024-06-02,전국
13521,(주)여론조사꽃,(주)여론조사꽃 자체조사,전국   정기(정례)조사 정당지지도 ,2024-06-02,전국
